abaca	абака
abstemious	воздержанный
abstention	воздержание
abstergent	очищающий
abstersion	очищение
abstinence	воздержание (from)
abstinent	умеренный
abstract	абстракция
abstracted	погруженный в мысли
abstractedly	рассеянно
abstractedness	абстрактность
abstraction	абстракция
abstractive	абстрагирующий
abstractiveness	абстрактность
abstruse	глубокомысленный
absurd	нелепый
absurdist	абсурдист
absurdity	нелепость
absurdly	нелепо
Abudja	г. Абуджа
abundance	изобилие
abundant	обильный
abuse	оскорбление
abusive	оскорбительный
abut	примыкать
abutment	межа
abuzz	гудящий
abysm	бездна
abyss	бездна
abyssal	абиссальный
AC	aircraft carrier авианосец тж. ac
acacia	акация (Acacia spp.)
academic	университетский
academical	академический
academician	академик
academy	академия
academy-figure	акт (рисунок)
acanthus	акант
acarpous	не имеющий плодов
accede	соглашаться (to)
accelerant	катализатор
accelerate	ускорять
accelerating	ускоряющий(ся)
acceleration	ускорение
accelerator	ускоритель
accent	ударение
accented	подчеркнутый
accentual	относящийся к ударению
accentuate	делать ударение
accentuation	постановка ударения
accept	принимать
acceptability	приемлемость
acceptable	приемлемый
acceptably	приемлемо
acceptance	принятие
acceptation	принятое значение слова/выражения
accepted	общепринятый
accepter	тот
acceptor	акцептант
access	доступ
accessary	соучаствующий
accessibility	доступность
accessible	доступный (to)
accession	прирост
accessorial	вспомогательный
accessorize	снабжать аксессуарами
accidence	морфология
accident	несчастный случай
accident-prone	невезучий
accidental	случайный
accidentally	случайно
acclaim	шумно
acclamation	шумное одобрение
acclimatization	акклиматизация
acclimatize	акклиматизировать
acclivity	подъем (пологий)
acclivous	пологий
accolade	похвала
accommodate	приспосабливать	
accommodating	услужливый
accommodation	обыкн. помещение
accommodation-bill	дружеский вексель
accommodation-ladder	забортный трап
accompaniment	сопровождение
accompanist	аккомпаниатор
accompany	сопровождать
accomplice	сообщник
accomplish	совершать
accomplished	совершенный
accomplishment	выполнение
accord	согласие
accordance	согласие
accordant	(with , to) согласный
accordingly	соответственно
accordion	аккордеон
accordion-pleated	гофрированный
accost	приветствие
accouchement	разрешение от бремени
accoucheur	акушер
accoucheuse	акушерка
account	счет
accountability	ответственность
accountable	ответственный
accountancy	бухгалтерское дело
accountant	бухгалтер
accountant-general	главный бухгалтер
accounting	учет
accoutre	обыкн. одевать
accoutrement	обыкн. (личное) снаряжение
Accra	г. Аккра
accredit	уполномочивать
accredited	аккредитованный
accrete	сросшийся
accretion	разрастание
accrual	нарастание
accrue	увеличиваться
accumulate	аккумулировать
accumulation	собирание
accumulator	аккумулятор
accuracy	точность
accurate	точный
accurately	точно
accursed	проклятый
accusation	обвинение
accusative	винительный
accusatorial	обвинительный
accuse	обвинять
accused	обвиняемый (в преступлении)
accuser	обвинитель
accusing	обвинительный
accustom	приучать
accustomed	привыкший
ACE	Allied Command
ace	очко
acephalous	безголовый
acerbate	озлобленный
acerbic	кислый
acerbity	терпкость
acetate	соль уксусной кислоты
acetic	уксусный
acetify	окислять(ся)
acetous	уксусный
acetylene	ацетилен
ache	боль (особ. продолжительная , тупая)
acheless	безболезненный
achievable	достижимый
achieve	достигать
achievement	достижение
achiever	успевающий ученик
Achilles	Ахиллес
aching	болящий
achromatic	ахроматический
achromatism	ахроматизм
achy	нездоровый
acid	кислота
acid-proof	кислотоупорный
acid-rain	кислотный дождь
acidic	кислотный
acidify	подкислять
acidity	кислотность
acidize	окислять
acidly	едко
acidulated	кисловатый
acidulous	кисловатый
ack-ack	зенитные орудия
acknowledge	сознавать
acknowledged	признанный
acknowledgement	признание
aclinic	горизонтальный
acme	высшая точка чего-л.
acne	прыщи
acock	набекрень
acolyte	прислужник
aconite	аконит
acorn	желудь
acoustic	акустический
acoustics	акустика
acquaint	знакомить
acquaintance	знакомство
acquaintanceship	знакомство
acquainted	знакомый с чем-л.
acquest	приобретение
acquiesce	уступать
acquiescence	уступки
acquiescent	уступчивый
acquire	приобретать
acquired	благоприобретенный
acquirement	приобретение
acquirer	покупатель (юридическое или физическое лицо , покупающее предприятие , кампанию и т.п.) (технический термин в бизнесе)
acquisition	приобретение (процесс)
acquisitive	стяжательский
acquit	оправдывать (of)
acquittal	оправдание
acquittance	освобождение от обязательства
acreage	площадь земли в акрах
acrid	острый
acridity	острота (блюд , напитков)
acrimonious	желчный (о характере)
acrimony	желчность (характера) bitterness
acrobat	акробат
acrobatic	акробатический
acrobatics	акробатика
acronym	акроним
acropolis	акрополь
across	поперек
acrostic	акростих
act	дело
acting	игра
actinic	актинический
actinism	актинизм
actinium	актиний
action	действие
actionable	дающий основание для судебного преследования
activate	активировать
activated	активированный
active	активный
activist	активист
activity	деятельность
actor	актер
actress	актриса
actual	фактически существующий
actuality	действительность
actualize	реализовать
actually	фактически
actuary	статистик страхового общества
actuate	приводить в действие
actuator	силовой привод
acuity	острота
acumen	проницательность
acuminate	остроконечный
acupressure	массаж биологически активных точек кожи
acupuncture	иглоукалывание
acupuncturist	иглотерапевт
acute	острый
acutely	остро
ad	of advertisement
Ada	Ада
adage	пословица
adagio	адажио
Adalbert	Адальберт
Adam	Адам
adamant	твердый минерал/металл
adamantine	стальная дробь (для бурения)
adapt	приспосабливать	
adaptability	приспособляемость
adaptable	легко приспосабливаемый adjustable
adaptation	адаптация
adapter	тот
ADC	analog-to-digital converter аналогово-цифровой преобразователь aide-de-camp адъютант
add	прибавлять
addendum	приложение
adder	гадюка
addict	наркоман (тж. drug addict) he is a TV addict
addicted	склонный (часто к дурному)
addiction	склонность к чему-л.
addictive	вызывающий привычку
addition	прибавление
additional	добавочный
additive	присадка (к маслу)
addle	тухлый
addle-brained	пустоголовый
addle-head	пустоголовый человек
addled	испорченный
addlement	путаница
address	адрес
addressee	адресат
adduce	представлять
adducent	приводящий (о мышце)
adduction	приведение (фактов , доказательств)
adductor	аддуктор
Adelaide	г. Аделаида
Aden	г. Аден
adenoid	связанный с лимфатическими железами
adenoidal	связанный с лимфатическими железами (о голосе)
adenoids	аденоиды
adept	знаток
adequacy	соответствие
adequate	соответствующий
adequation	выравнивание
adhere	прилипать
adherence	приверженность
adherent	приверженец
adhesion	прилипание
adhesive	липкий
adhesiveness	клейкость
adieu	прощай(те)!
adipose	животный жир
adiposity	ожирение
adit	вход
adjacency	соседство
adjacent	примыкающий
adjectival	употребленный в качестве прилагательного
adjective	имя прилагательное
adjoin	примыкать
adjoining	прилегающий
adjourn	отсрочивать
adjournment	отсрочка
adjudge	выносить приговор
adjudicate	судить
adjunct	приложение
adjuration	мольба
adjure	молить
adjust	приводить в порядок
adjustable	регулируемый
adjusted	урегулированный
adjuster	монтажник
adjusting	регулирующий
adjustment	регулирование
adjutancy	звание/должность адъютанта
adjutant	адъютант
adjuvant	помощник
adman	admen сотрудник рекламного агентства
admeasure	отмерять
admin	управление делами
administer	управлять
administrate	управлять
administration	управление (делами)
administrative	административный
administrator	управляющий
administratrix	женщина-администратор
admirable	замечательный
admiral	адмирал Admiral of the Fleet
admiration	восхищение
admire	любоваться
admirer	поклонник
admiring	восхищенный
admissible	допустимый
admission	доступ
admit	допускать
admittance	доступ
admittedly	по общему признанию/согласию
admix	примешивать(ся)
admixture	примесь
admonish	предостерегать (of)
admonition	предостережение
admonitory	увещевающий
ado	суета
adobe	кирпич воздушной сушки
adolescence	юность
adolescent	юношеский
Adonis	Адонис
adopt	усыновлять
adoptee	усыновленный
adoption	усыновление
adoptive	приемный
adorable	обожаемый
adoration	обожание
adore	обожать
adorer	поклонник
adoring	поклоняющийся
adorn	украшать
adornment	украшение
ADP	Administrative Data Processing административная обработка данных Advanced Data Processing усовершенствованная обработка данных
adrenal	надпочечный
adrenalin	адреналин
Adrian	Адриан
adrift	по течению
adroit	ловкий
adroitness	ловкость
adsorb	адсорбировать
adsorbent	адсорбент
adsorption	адсорбция
adulation	низкопоклонство
adulatory	льстивый
adult	взрослый
adulterant	примесь (снижающая качество)
adulterate	фальсифицировать
adulteration	фальсификация
adulterer	нарушающий супружескую верность
adulteress	нарушающая супружескую верность
adulterous	виновный в нарушении супружеской верности
adultery	адюльтер
adumbrate	бегло набросать
adust	выжженный
advance	продвижение вперед
advance-guard	авангард
advanced	выдвинутый вперед
advancement	продвижение
advantage	преимущество
advantaged	обладающий преимуществом
advantageous	благоприятный
advent	приход
adventitious	случайный
adventure	приключение
adventurer	искатель приключений
adventuress	искательница приключений
adventurism	вызывающее поведение
adventurist	авантюрный
adventurous	безрассудно смелый
adverb	наречие
adverbial	наречный
adversarial	соперничающий
adversary	противник
adversative	выражающий противоположное понятие
adverse	враждебный
adversity	напасти
advert	ссылаться
advertence	внимательное отношение
advertency	внимательное отношение
advertise	помещать объявление
advertisement	объявление
advertiser	лицо
advertising	рекламирование
advertorial	информирующая реклама (нацеленная на сообщение фактов , а не на сбыт товаров)
advice	совет
advisable	благоразумный
advise	советовать
advised	осведомленный
advisedly	намеренно
advisement	обсуждение
adviser	советник
advisory	совещательный
advocacy	защита
advocate	защитник
adynamia	слабость
aegis	эгида (щит Зевса)
aegrotat	справка о болезни у отсутствовавшего на экзамене студента (в англ. университетах)
Aeneas	Эней
Aeolian	эолийский
aeon	вечность
aerate	проветривать
aeration	проветривание
aerial	воздушный
aerie	гнездо хищной птицы
aeriform	воздушный
aerify	превращать в газообразное состояние
aerobatics	высший пилотаж
aerobics	аэробика
aerobiology	аэробиология
aerobomb	авиабомба
aerocamera	аэрокамера
aerocarrier	авианосец
aerodrome	аэродром
aerodynamics	аэродинамика
aerodyne	летательный аппарат тяжелее воздуха
aeroembolism	кессонная болезнь
aeroengine	авиационный двигатель
aerofoil	аэродинамическая поверхность
aerogram	радиограмма
aerogun	авиапушка
aerojet	воздушно-реактивный
aerolite	аэролит
aerology	аэрология
aeromechanics	аэромеханика
aerometer	аэрометр
aeronaut	воздухоплаватель
aeronautics	аэронавтика
aeronavigation	аэронавигация
aerophone	звукоусилитель
aeroplane	самолет
aerosol	аэрозоль
aerostat	аэростат
aerostatics	аэростатика
aerostation	воздухоплавание
aerotechnics	авиатехника
Aesop	Эзоп
aesthete	эстет
aesthetic	эстетический artistic
aesthetics	эстетика
aesthophysiology	физиология органов чувств
aetiology	этиология
AF	Air Force военно-воздушные силы Audio Frequency звуковая частота
afar	вдалеке (обыкн. afar off)
AFC	Automatic Flight Control автоматическое управление полетом Automatic Frequency Control автоматическая регулировка частоты
affability	приветливость
affable	приветливый
affair	дело
affect	аффект emotion
affectation	притворство
affected	тронутый
affecting	трогательный
affection	часто привязанность
affectionate	любящий
affective	эмоциональный
afferent	центростремительный
affiance	доверие
affiant	свидетель
affidavit	письменное показание под присягой
affiliate	принимать в члены
affiliation	прием в члены
affined	родственный (в каком-л. отношении)
affinity	свойство
affirm	утверждать
affirmation	утверждение
affirmative	утвердительный
affix	аффикс
affixation	аффиксация
afflatus	вдохновение
afflict	огорчать
afflicted	огорченный
affliction	горе
affluence	изобилие
affluent	приток (реки)
afflux	прилив
afford	(быть в состоянии) позволить себе (часто can afford , be able to afford)
affordable	возможный
afforest	засадить лесом
afforestation	лесонасаждение
affranchise	отпускать на волю
affray	нарушение общественного спокойствия
affreightment	фрахтование
affricate	аффриката
affright	испуг
affront	(публичное) оскорбление
affusion	обливание
Afghan	афганский
afghani	афгани (денежная единица Афганистана)
Afghanistan	Афганистан
aficionado	ревностный поклонник
afield	в поле	
afire	охваченный пламенем
aflame	объятый пламенем
aflat	горизонтально
afloat	плавающий на поверхности воды
afoot	в движении
afore-	прежде-
aforecited	вышеприведенный
aforegoing	предшествующий
aforementioned	вышеупомянутый
aforenamed	вышеназванный
aforesaid	вышеупомянутый
aforethought	преднамеренный
aforetime	прежде
afoul	столкнувшись
afraid	испуганный
afreet	африт (могучий злой дух , демон)
afresh	снова
Africa	Африка
African	африканский
Afrikaans	африкаанс
Afro	'афро'
aft	в кормовой части
after	указывает на местонахождение позади данного предмета или движение вдогонку за
after-care	уход за выздоравливающим
after-effect	последствие
after-game	попытка отыграться
after-grass	отава
after-life	загробная жизнь
afterbirth	послед
afterburning	догорание топлива
aftercrop	второй урожай
afterdamp	ядовитая газовая смесь
afterglow	вечерняя заря
afterimage	остаточное изображение
afterlight	задний свет
aftermost	ближайший к корме
afternoon	время после полудня
afterpiece	дивертисмент
afters	второе и третье блюда
aftershave	лосьон
aftershock	толчок после основного землетрясения
aftertaste	вкус
afterthought	мысль
afterwards	впоследствии
AG	Adjutant General генеральный адъютант генеральный атторней
again	снова
against	указывает на противоположное направление или положение против
agamic	бесполый
agape	разинув рот
agaric	пластинчатый гриб
agate	агат
Agatha	Агата
agave	агава
agaze	в изумлении
age	возраст
age-old	вековой
aged	старый
ageing	старение
ageism	предубеждение против какой-л. возрастной группы
ageless	нестареющий
agelong	очень долгий
agency	агентство
agent	деятель
agential	относящийся к агенту/агентству
agglomerate	агломерат
agglomeration	накапливание
agglutinate	склеивать
agglutination	склеивание
agglutinative	склеивающий
aggrandize	увеличивать (мощь , благосостояние)
aggrandizement	увеличение
aggravate	отягчать
aggravated	усугубленный
aggravating	ухудшающий
aggravation	ухудшение
aggregate	совокупность
aggregation	собирание
aggression	нападение
aggressive	нападающий
aggressiveness	агрессивность
aggressor	агрессор
aggrieve	обыкн. обижать
aggrieved	обиженный
aggro	вызывающее
aghast	пораженный ужасом
agile	проворный
agility	проворство
agin	против
agio	ажио
agiotage	ажиотаж
agitate	агитировать волновать
agitated	взволнованный
agitation	агитация
agitator	агитатор мешалка
aglet	аксельбант
aglow	пылающий
agnail	заусеница
agnate	родственник по мужской линии
agnation	родство по отцу
Agnes	Агнесса
agnostic	агностик sceptic
agnosticism	агностицизм
ago	тому назад
agog	возбужденный
agonic	не образующий угла
agonistic	атлетический
agonize	агонизировать
agonized	мучительный
agonizing	мучительный
agony	агония
agoraphobe	человек
agoraphobia	боязнь пространства
agrarian	аграрный
agree	соглашаться
agreeably	приятно
agreed	согласованный
agreement	(взаимное) согласие
agricultural	сельскохозяйственный
agriculture	сельское хозяйство
agriculturist	агроном
agrimony	репейник
agrimotor	трактор
agrobiological	агробиологический
agrobiologist	агробиолог
agrobiology	агробиология
agrobusiness	агробизнес
agronomics	агрономия
agronomist	агроном
agrostology	учение о травах
aground	сидящий на мели
ague	малярия
ague-cake	увеличение селезенки при хронической малярии
ague-spleen	малярийная (увеличенная) селезенка
aguish	малярийный
ah	ах!
aha	ага!
ahead	будущий
aheap	в куче
ahem	гм!
ahold	удерживание
ahull	с убранными парусами и рулем на наветренном борту
aid	помощь
aide-de-camp	aides-de-camp адъютант
aide-memoire	памятная записка
Aids	(сокр. от acquired immunodeficiency syndrome) синдром приобретенного иммунодефицита , СПИД
aigrette	султан
aiguille	горный пик
ail	болеть
aileron	обыкн. элерон
ailing	больной
ailment	нездоровье sickness
aim	цель
aiming	прицеливание
aimless	бесцельный
air	воздух
air-balloon	воздушный шар
air-barrage	воздушное заграждение (аэростатами)
air-base	авиабаза
air-bed	надувной матрац
air-blast	порыв воздуха
air-brake	пневматический тормоз
air-brick	кирпич воздушной сушки
air-brush	распылитель краски и т. п.
air-cell	легочная альвеола
air-chamber	воздушная камера
air-condition	кондиционировать (воздух)
air-conditioned	с кондиционированным воздухом
air-conditioning	кондиционирование воздуха
air-cooled	с воздушным охлаждением
air-cooling	воздушное охлаждение
air-cushion	надувная подушка
air-driven	пневматический
air-engine	авиамотор
air-exhauster	вытяжной вентилятор
air-frame	остов
air-freighter	грузовой самолет
air-furnace	топка с естественной тягой
air-gap	зазор
air-gas	карбюрированный воздух
air-gauge	манометр
air-gun	духовое ружье
air-hammer	пневматический молот
air-highway	воздушная трасса
air-hole	отдушина
air-hostess	стюардесса на самолете
air-jacket	надувной спасательный жилет
air-lift	переброска по воздуху
air-lock	воздушная пробка
air-map	аэронавигационная карта
air-minded	разбирающийся в вопросах авиации
air-monger	фантазер
air-photography	аэрофотосъемка
air-pocket	воздушная яма
air-powered	пневматический
air-raid	воздушный налет
air-route	авиалиния
air-shaft	вентиляционная шахта
air-stop	станция или посадочная площадка для пассажирских вертолетов
air-tight	непроницаемый для воздуха
air-to-air	пересадка с одного самолета на другой
air-to-ground	класса 'воздух
air-unit	авиационная часть
airborne	переносимый или перевозимый по воздуху
aircraft	самолет
airdrome	аэродром
Airedale	эрдельтерьер (порода собак)
airfield	аэродром
airhoist	пневматический подъемник
airily	воздушно
airing	проветривание и просушивание
airless	безветренный
airline	авиалиния
airman	летчик
airmanship	летное мастерство
airphoto	аэрофотоснимок
airplane	самолет
airplay	трансляция звукозаписи (в эфир)
airport	аэропорт
airscrew	воздушный винт
airshed	ангар
airship	дирижабль
airsick	страдающий воздушной болезнью
airsickness	воздушная болезнь
airway	воздушная линия
airwoman	женщина-летчик
airworthiness	пригодность самолета к полету
airworthy	годный к полету (о самолете)
airy	воздушный
airy-fairy	изящный
aisle	боковой неф храма
ait	островок (особ. на реке)
aitchbone	крестцовая кость
ajar	приоткрытый в разладе
akin	сродни
AL	American Legion Американский легион Alabama Алабама (штат США) American League американская лига (в бейсболе)
Alabama	Алабама
alabaster	алебастр
alack	увы!
alacrity	живость
Alan	Алан
alar	крыловидный
alarm	боевая тревога
alarm-clock	будильник
alarm-post	место сбора войск по тревоге
Alarmed	встревоженный
alarming	тревожный
alarmist	паникер
alarum	{см. alarm 1}
alas	увы!
Alaska	Аляска
alb	стихарь
Albania	Албания
Albanian	албанский
Albany	г. Олбани
albatross	альбатрос
albeit	хотя
Albert	Альберт
albert	цепочка для мужских часов
albescent	становящийся белым
albinism	отсутствие пигмента в коже
albino	альбинос
Albion	Альбион
albugo	бельмо
album	альбом
albumen	(яичный) белок
albumin	альбумин
albuminoid	белковидный
albuminous	белковый
alburnum	заболонь
alchemist	алхимик
alchemy	алхимия
alcohol	алкоголь
alcoholic	алкогольный
alcoholism	алкоголизм
alcoholometer	спиртомер
Alcoran	коран
alcove	альков
alder	ольха
alderman	ольдермен
aldermanry	звание ольдермена
ale	эль
ale-house	пивная
ale-wife	содержательница пивной
aleak	давший течь
aleatory	случайный
alee	под ветром
alembic	перегонный куб
alert	тревога
Alexander	Александр
Alexandria	г. Александрия
Alexandrine	александрийский стих
alexandrite	александрит
alfalfa	люцерна
Alfred	Альфред
alfresco	происходящий на открытом воздухе
alga	морская водоросль
algal	относящийся к водорослям
algebra	алгебра
algebraist	алгебраист
Algeria	Алжир
Algerian	алжирский
Algernon	Элджернон
algid	холодный
Algiers	г. Алжир
algorithm	алгоритм
alias	вымышленное имя
alibi	алиби
Alice	Элис
alidad	алидада
alidade	алидада
alien	чужестранец
alien-enemy	проживающий в стране подданный враждебного государства
alien-friend	проживающий в стране подданный дружественной страны
alienable	отчуждаемый
alienate	отчуждать тж.
alienation	отдаление
alienee	тот
alienism	положение иностранца в чужой стране
alienist	психиатр
aliform	крылообразный
alight	сходить
alighting	посадка
align	выстраивать в линию
alignment	выравнивание
alike	одинаковый
aliment	пища
alimentary	пищевой
alimentation	питание
alimony	алименты
aliped	крылоногий
aliquant	некратный
aliquot	кратный
alive	живой
alkalescence	слабая щелочность
alkalescent	слабощелочной
alkalimetry	алкалиметрия
alkaline	щелочной
alkaloid	алкалоид
all	весь
all-absorbing	всепоглощающий
all-American	сборная команда США (ее состав определяется обыкн. путем опроса студентов)
all-clear	сигнал отбоя воздушной тревоги
all-embracing	всеобъемлющий
all-honoured	всеми почитаемый
all-in	уставший
all-in-all	все для кого-л.
all-in-one	цельный
all-inclusive	включающий всех/все
all-metal	цельнометаллический
all-night	ночной (о ресторане , кафе и т. п.)
all-out	полный
all-outer	сторонник крайних мер
all-overish	чувствующий недомогание
all-overishness	общее недомогание
all-powerful	всемогущий
all-purpose	универсальный
all-round	многосторонний
all-rounder	разносторонний человек
All-Russian	всероссийский
all-star	состоящий только из звезд
all-steel	цельностальной
all-time	небывалый
All-Union	всесоюзный
all-up	общий вес (самолета , экипажа , пассажиров , груза и т. п.) в воздухе , полный полетный вес
all-white	только для белых
all-wool	чистошерстяной
Allah	аллах
Allan	Аллан
allay	успокаивать (волнение , подозрение , боль)
allcomers	открытое состязание
allegation	голословное утверждение
allege	ссылаться (в оправдание , в доказательство)
alleged	утверждаемый (обыкн. голословно)
allegiance	верность
allegorize	изображать
allegory	аллегория
allegro	аллегро
allergic	аллергический
allergologist	врач-аллерголог
allergy	аллергия
alleviate	облегчать (боль , страдания)
alleviation	облегчение
alliance	союз
allied	родственный
alligation	сплав
alligator	аллигатор
alliteration	аллитерация
allocate	размещать
allocation	размещение
allocution	речь
allodial	аллодиальный
allodium	аллод
allogamy	аллогамия
allopath	аллопат
allopathy	аллопатия
allot	распределять (по жребию)
allotment	распределение
allottee	тот
allow	позволять
allowable	то	
allowance	(годовое , месячное и т. п.) содержание
allowedly	дозволенным образом
alloy	сплав
allseed	многосемянное растение
allspice	гвоздичное дерево
allude	упоминать
allure	заманивать
allurement	обольщение
alluring	соблазнительный
allusion	упоминание
allusive	заключающий в себе ссылку
alluvial	наносный
ally	союзник
alma	альмэ (египетская танцовщица)
Alma-Ata	г. Алма-Ата
almanac	календарь
almighty	всемогущий
almond	миндаль
almond-eyed	с миндалевидным разрезом глаз
almond-oil	миндальное масло
almond-shaped	миндалевидный
almoner	чиновник в больнице
almost	почти
alms	обыкн. as милостыня
alms-deed	благотворительность
alms-house	богадельня
almsman	живущий подаянием
aloe	алоэ
aloft	наверху
alone	один
along	вперед
along-shore	вдоль берега
alongside	бок о бок
aloof	сторонящийся
aloofness	отчужденность
aloud	громко
Aloys	Алоиз
alp	горная вершина
alpaca	альпака
alpenstock	альпеншток
alpha	альфа (первая буква греческого алфавита)
alphabet	алфавит
alphabetical	алфавитный
alphabetically	в алфавитном порядке
alphabetize	располагать в алфавитном порядке
Alpine	альпиец
alpinist	альпинист
Alps	Альпы
already	уже
Alsatian	эльзасский
also	тоже
also-ran	спортсмен
alt	высокий звук
Altai	Алтай
altar	престол
altar-cloth	напрестольная пелена
altar-piece	запрестольный образ
alter	изменять(ся)
alterable	изменяемый
alterant	способный вызывать изменения
alteration	изменение
alterative	вызывающий изменение
altercate	препираться
altercation	перебранка
alternate	заместитель
alternating	переменный
alternation	чередование
alternative	альтернатива
alternator	генератор переменного тока
although	хотя
altigraph	альтиграф
altimeter	альтиметр
altisonant	громкий
altitude	высота
alto	альт (голос и струнный инструмент)
alto-cumulus	высококучевые облака
alto-relievo	горельеф
alto-stratus	высокослоистые облака
altogether	вполне
altruism	альтруизм benevolence
altruist	альтруист
altruistic	альтруистический
alum	квасцы
alumina	окись алюминия
aluminium	алюминий
aluminous	глиноземный
alumnus	бывший питомец (школы или университета)
alveolar	альвеолярный
alveolate	альвеолярный (имеющий ячеистое строение)
alveolus	альвеола
always	всегда
AM	air mail воздушная почта amplitude modulation амплитудная модуляция
Amabel	Амабель
amadou	трут
amain	быстро
amalgam	амальгама
amalgamate	соединять(ся)
amalgamated	соединенный
amalgamation	смешение
amanuensis	личный секретарь
amaranth	щирица
amaranthine	неувядающий
amass	собирать
amateur	любитель
amateurish	непрофессиональный
amateurism	дилетантизм
amative	влюбчивый
amatol	аматол (взрывчатое вещество)
amatory	любовный
amaze	изумлять
amazement	изумление
amazing	удивительный
Amazon	амазонка
Amazonian	свойственный амазонкам
ambages	обиняки
ambassador	посол
ambassadorial	посольский
ambassadress	жена посла
amber	янтарь
ambergris	серая амбра
ambience	окружение
ambient	окружающий
ambiguity	двусмысленность
ambiguous	двусмысленный
ambit	окружение
ambition	честолюбие
ambitions	честолюбивый
ambitious	честолюбивый
ambivalent	противоположный
amble	иноходь
ambler	иноходец
Ambrose	Эмброуз
ambrosia	амброзия
ambulance	полевой госпиталь
ambulance-chaser	юрист
ambulanceman	работник скорой помощи (санитар , водитель и т. п.)
ambulant	перемещающийся (о боли)
ambulatory	амбулаторный
ambush	засада
ameer	эмир
Amelia	Амелия
ameliorate	улучшать(ся) improve
amelioration	улучшение
ameliorative	мелиоративный
amen	аминь!
amenability	ответственность
amenable	ответственный
amenably	согласно
amend	улучшать
amendable	исправимый
amendment	поправка (к резолюции , законопроекту)
amends	as компенсация
amenity	приятность
amentia	слабоумие
amerce	штрафовать
amercement	наложение штрафа (особ. по усмотрению штрафующего)
America	Америка
American	американский
Americanism	американизм
Americanization	американизация
Americanize	американизировать
